,Instance,List,GAP,Time,Nodes,ObjVal,ObjVal_h,Time_h,Structure,Pct,Model,Mode
0,0,0,0.36201193190492276,7200.077336072922,313663.0,605.4922820938872,853.0258996518828,89.17595911026001,Grid,Alpha-e,MTZ,1
1,0,0,0.3696408553639283,7200.083607912064,68050.0,626.023144245616,784.5981707783101,137.9510519504547,Grid,Alpha-e,MTZ,2
2,0,0,0.503730527301309,7200.073895931244,449116.0,699.70090610077,833.9193274536011,132.6081862449646,Grid,Alpha-e,MTZ,3
3,1,0,0.3285889058951696,7200.089595079422,43257.0,878.7755970898475,1146.9516544417834,97.43678188323975,Grid,Alpha-e,MTZ,1
4,1,0,0.21082429921711285,7200.094754934311,368080.0,827.6544734311963,973.9636293318308,336.5283646583557,Grid,Alpha-e,MTZ,2
5,1,0,0.46187010754217317,7200.081475973129,615409.0,827.0008340473257,930.6219625273546,155.22654581069946,Grid,Alpha-e,MTZ,3
6,2,0,0.3762840992550174,7200.064803123474,437000.0,496.70220308701636,708.0099134917505,101.49950194358826,Grid,Alpha-e,MTZ,1
7,2,0,0.3514925635597138,7200.0804970264435,300148.0,523.1418495034806,750.5211060910442,305.9297790527344,Grid,Alpha-e,MTZ,2
8,2,0,0.43305958275099454,7200.102781057358,360343.0,612.2170581698404,696.9471885216036,141.68836092948914,Grid,Alpha-e,MTZ,3
9,3,0,0.22311015891523184,7200.069844007492,413922.0,907.456958571808,1378.7259836668447,109.82660722732544,Grid,Alpha-e,MTZ,1
10,3,0,0.15294705250538804,7200.061285018921,297132.0,1080.096872398301,1513.360557494995,135.49683904647827,Grid,Alpha-e,MTZ,2
11,3,0,0.3250557052796671,7200.062846899033,433581.0,1056.8566816716348,1282.9163316108875,311.70417881011963,Grid,Alpha-e,MTZ,3
12,4,0,0.34331089883465044,7200.201401948929,50945.0,871.3703124781284,1163.6002204179094,86.6418342590332,Grid,Alpha-e,MTZ,1
13,4,0,0.10020465534108045,7200.045156955719,399341.0,929.8380754483663,1165.1574662750952,119.08108687400818,Grid,Alpha-e,MTZ,2
14,4,0,0.23323636532744074,7200.067786931992,382924.0,710.9649851044119,1026.7548232149734,146.62955617904663,Grid,Alpha-e,MTZ,3
15,0,0,0.32052260010460654,7200.034100055695,415629.0,629.5336756592126,1049.9438073920453,96.09285807609558,Grid,Alpha-g,MTZ,1
16,0,0,0.2844535557240191,7200.123955965042,293493.0,657.0081787107991,1031.9642781536088,132.84281587600708,Grid,Alpha-g,MTZ,2
17,0,0,0.4488209808463056,7200.098322153091,535465.0,719.0725069669197,830.2896872290826,117.80475211143494,Grid,Alpha-g,MTZ,3
18,1,0,0.2007895630530503,7200.050987958908,638315.0,549.0403432583199,585.9083066654289,93.76745796203613,Grid,Alpha-g,MTZ,1
19,1,0,0.05759581168261125,7200.087860822678,445243.0,535.1193170146025,843.409116344436,90.86625003814697,Grid,Alpha-g,MTZ,2
20,1,0,0.4966221125986366,7200.119702100754,858244.0,547.299764793353,641.5814749737035,228.5543248653412,Grid,Alpha-g,MTZ,3
21,2,0,0.3335239471445619,7200.125331878662,722871.0,574.7417154408517,890.5365436590914,97.41333198547363,Grid,Alpha-g,MTZ,1
22,2,0,0.1810050424037084,7200.1098420619965,375129.0,554.7149667879744,707.6271302939367,252.7667260169983,Grid,Alpha-g,MTZ,2
