,Instance,List,Gap,Time,Nodes,ObjVal,ObjVal_h,Time_h,Structure,Pct,Model
16,3,2,0.0,75.21928811073303,25.0,2000.1806490680506,,,Grid,Alpha-g,MTZ
17,3,2,0.0,186.67940998077393,41.0,2329.894020106281,,,Delauney,Alpha-g,MTZ
18,4,2,0.011345357525611261,7200.182774782181,19519.0,117137.80638073187,,,Grid,Alpha-g,MTZ
19,4,2,0.0,78.44410395622253,25.0,2015.4824378650674,,,Delauney,Alpha-g,MTZ
20,0,3,,,,,,,Grid,Alpha-e,MTZ
21,0,3,0.0,592.3402469158173,73.0,4070.505354114924,,,Delauney,Alpha-e,MTZ
22,1,3,,,,,,,Grid,Alpha-e,MTZ
23,1,3,,,,,,,Delauney,Alpha-e,MTZ
24,2,3,,,,,,,Grid,Alpha-e,MTZ
25,2,3,,,,,,,Delauney,Alpha-e,MTZ
26,3,3,,,,,,,Grid,Alpha-e,MTZ
27,3,3,,,,,,,Delauney,Alpha-e,MTZ
28,4,3,0.0,1161.3002619743347,371.0,4318.749276833605,,,Grid,Alpha-e,MTZ
29,4,3,,,,,,,Delauney,Alpha-e,MTZ
30,0,3,0.0,281.4816620349884,602.0,3999.1816740400027,,,Grid,Alpha-g,MTZ
31,0,3,,,,,,,Delauney,Alpha-g,MTZ
32,1,3,,,,,,,Grid,Alpha-g,MTZ
33,1,3,0.0,661.8671588897705,7.0,4069.231593831568,,,Delauney,Alpha-g,MTZ
34,2,3,,,,,,,Grid,Alpha-g,MTZ
35,2,3,,,,,,,Delauney,Alpha-g,MTZ
36,3,3,0.31902107862923695,7200.354335069656,15334.0,12426.8289619889,,,Grid,Alpha-g,MTZ
37,3,3,,,,,,,Delauney,Alpha-g,MTZ
38,4,3,,,,,,,Grid,Alpha-g,MTZ
39,4,3,,,,,,,Delauney,Alpha-g,MTZ
