,Instance,List,GAP,Time,Nodes,Obj,Type,Pct,Model,Mode
0,,,0.8570894367249434,0.0,289098.0,637.7879557987031,Grid,Alpha-g,Stages,1
1,,,0.32885714359417034,7200.075967073441,485118.0,637.3514982700807,Grid,Alpha-g,MTZ,1
2,,,0.8650694881246467,0.0,338185.0,675.5079688531732,Grid,Alpha-g,Stages,2
3,,,0.2987436846062587,7200.062590837479,448711.0,670.3966236264655,Grid,Alpha-g,MTZ,2
4,,,0.871639247453247,0.0,372734.0,710.0818139878131,Grid,Alpha-g,Stages,3
5,,,0.4445488985810969,7200.069322824478,549651.0,713.5419807035718,Grid,Alpha-g,MTZ,3
6,,,0.8046093755164563,0.0,562641.0,503.30387176925666,Grid,Alpha-g,Stages,1
7,,,0.12572075110594091,7200.0910267829895,593571.0,501.89773255181996,Grid,Alpha-g,MTZ,1
8,,,0.8987933856518344,0.0,352590.0,518.6096414957972,Grid,Alpha-g,Stages,2
9,,,0.0842954726164802,7200.121238946915,265326.0,550.7220621099839,Grid,Alpha-g,MTZ,2
10,,,0.9144227011931123,0.0,380509.0,613.3253411345245,Grid,Alpha-g,Stages,3
11,,,0.5085976648022263,7200.103641033173,678905.0,560.637546148536,Grid,Alpha-g,MTZ,3
12,,,0.8578496439154432,0.0,296459.0,584.5812684990373,Grid,Alpha-g,Stages,1
13,,,0.3531891677423186,7200.109861135483,616045.0,592.215792956551,Grid,Alpha-g,MTZ,1
14,,,0.8455241876997837,0.0,192745.0,537.9381680544404,Grid,Alpha-g,Stages,2
15,,,0.14042527645514102,7200.08414888382,382921.0,527.1517099138053,Grid,Alpha-g,MTZ,2
16,,,0.8659863928259437,0.0,370163.0,620.0746120472077,Grid,Alpha-g,Stages,3
17,,,0.35654766449316866,7200.108558893204,471896.0,556.9560298863421,Grid,Alpha-g,MTZ,3
18,,,0.9745367073490583,0.0,406586.0,746.9663628649603,Grid,Alpha-g,Stages,1
19,,,0.3723073360343243,7200.069089889526,1065078.0,797.819469379824,Grid,Alpha-g,MTZ,1
20,,,0.9755172103230333,0.0,332002.0,776.3875463393342,Grid,Alpha-g,Stages,2
21,,,0.1649704859948606,7200.085633993149,417602.0,755.9567175368144,Grid,Alpha-g,MTZ,2
22,,,0.9774890822641392,0.0,539696.0,844.3961826825763,Grid,Alpha-g,Stages,3
23,,,0.41766743712646437,7200.140925168991,958692.0,817.1225934978991,Grid,Alpha-g,MTZ,3
24,,,0.8066628045667759,0.0,399770.0,667.6671198058493,Grid,Alpha-g,Stages,1
25,,,0.27165640502359906,7200.0949120521545,674145.0,660.7995309903408,Grid,Alpha-g,MTZ,1
26,,,0.8628539187683743,0.0,281282.0,747.0973315517995,Grid,Alpha-g,Stages,2
27,,,0.19915758926341287,7200.057531118393,425365.0,727.6361546061447,Grid,Alpha-g,MTZ,2
28,,,0.8790567075852307,0.0,304496.0,847.1860594760988,Grid,Alpha-g,Stages,3
29,,,0.4765857308077962,7200.081229925156,508125.0,738.4070924080959,Grid,Alpha-g,MTZ,3
30,,,0.8993960306573845,0.0,78336.0,1248.3635890053697,Grid,Alpha-g,Stages,1
31,,,0.31551417311447555,7200.507751941681,435752.0,1382.521106567653,Grid,Alpha-g,MTZ,1
32,,,0.9026548988842457,0.0,45743.0,1290.1556503330614,Grid,Alpha-g,Stages,2
33,,,0.2617360169300016,7200.223909139633,69769.0,1553.8049391690743,Grid,Alpha-g,MTZ,2
34,,,0.907902003393493,0.0,61046.0,1363.659763125187,Grid,Alpha-g,Stages,3
35,,,0.34039821054678765,7200.17439198494,142652.0,1248.319010957637,Grid,Alpha-g,MTZ,3
36,,,0.900781937555659,0.0,65141.0,1406.0268081047966,Grid,Alpha-g,Stages,1
37,,,0.4166949037609659,7200.146445989609,268976.0,1539.7391742942718,Grid,Alpha-g,MTZ,1
38,,,0.9056868557896255,0.0,122101.0,1479.1496647994668,Grid,Alpha-g,Stages,2
39,,,0.23468415713471721,7200.155956029892,234938.0,1335.7428337084632,Grid,Alpha-g,MTZ,2
40,,,0.9083289234578817,0.0,72132.0,1521.780488536803,Grid,Alpha-g,Stages,3
41,,,0.33835151225247134,7200.407051086426,142644.0,1316.862824652926,Grid,Alpha-g,MTZ,3
42,,,0.9243534490809726,0.0,76692.0,1357.2575216672458,Grid,Alpha-g,Stages,1
43,,,0.3485444996706964,7200.178883075714,520770.0,1354.2135317564305,Grid,Alpha-g,MTZ,1
44,,,0.9287070116052674,0.0,109896.0,1440.1395219199421,Grid,Alpha-g,Stages,2
45,,,0.09115245187646566,7200.134026050568,148221.0,1266.5583490227773,Grid,Alpha-g,MTZ,2
46,,,0.9308096285911632,0.0,70312.0,1483.9037301355088,Grid,Alpha-g,Stages,3
47,,,0.4127242414736833,7200.285315990448,82875.0,1390.8066053167702,Grid,Alpha-g,MTZ,3
48,,,0.9194664545452563,0.0,74529.0,1407.9023594055864,Grid,Alpha-g,Stages,1
49,,,0.3407454895082353,7200.2428460121155,374979.0,1381.027291839327,Grid,Alpha-g,MTZ,1
50,,,0.9238358891275698,0.0,79730.0,1488.671860778893,Grid,Alpha-g,Stages,2
51,,,0.2286628086961034,7200.205096006393,72006.0,1487.6115921673143,Grid,Alpha-g,MTZ,2
52,,,0.930447687300766,0.0,61545.0,1630.1883324474861,Grid,Alpha-g,Stages,3
53,,,0.4090873490879773,7200.161463022232,225317.0,1531.2865770738078,Grid,Alpha-g,MTZ,3
54,,,0.9126267775015033,0.0,68612.0,1504.0504425699803,Grid,Alpha-g,Stages,1
