,Instance,List,GAP,Time,Nodes,Obj,Type,Pct,Model,Mode
0,0,0,0.8835585315359424,0.0,123849.0,576.3387715087904,Grid,Alpha-e,Stages,1
1,0,0,0.39181304436184994,7200.051878929138,314227.0,635.1613557614522,Grid,Alpha-e,MTZ,1
2,0,0,0.7860963717303735,0.0,38021.0,699.7498046402143,Grid,Alpha-e,Stages,2
3,0,0,0.4299250018606812,7200.07103395462,56010.0,690.7235302121861,Grid,Alpha-e,MTZ,2
4,0,0,0.9046096249917673,0.0,126073.0,703.5272990745933,Grid,Alpha-e,Stages,3
5,0,0,0.4867647450055326,7200.104223012924,283235.0,676.5712143472552,Grid,Alpha-e,MTZ,3
6,1,0,0.9145924960867478,0.0,132981.0,837.0498594425337,Grid,Alpha-e,Stages,1
7,1,0,0.33206743898705054,7200.132821083069,36281.0,892.8448289069311,Grid,Alpha-e,MTZ,1
8,1,0,0.8930177355498522,0.0,133027.0,739.8508503114138,Grid,Alpha-e,Stages,2
9,1,0,0.19447550414847897,7200.082991838455,189966.0,810.8565319118572,Grid,Alpha-e,MTZ,2
10,1,0,0.8792647128207891,0.0,56161.0,892.2304365261409,Grid,Alpha-e,Stages,3
11,1,0,0.46388497371422843,7200.127004146576,474129.0,830.1089282492878,Grid,Alpha-e,MTZ,3
12,2,0,0.8568490900853554,0.0,65331.0,478.47829883522246,Grid,Alpha-e,Stages,1
13,2,0,0.3433884911643136,7200.0518090724945,420163.0,475.6515572586652,Grid,Alpha-e,MTZ,1
14,2,0,0.8710091313074644,0.0,101861.0,531.0035085966906,Grid,Alpha-e,Stages,2
15,2,0,0.2990985984434671,7200.130800008774,474241.0,484.0358129727112,Grid,Alpha-e,MTZ,2
16,2,0,0.8748808293234387,0.0,135965.0,547.434925298003,Grid,Alpha-e,Stages,3
17,2,0,0.3949576578396283,7200.112493991852,310926.0,574.0179904489053,Grid,Alpha-e,MTZ,3
18,3,0,0.9015185236716574,0.0,170691.0,914.7659504162897,Grid,Alpha-e,Stages,1
19,3,0,0.2671853805857835,7200.053654909134,412253.0,962.0360643182615,Grid,Alpha-e,MTZ,1
20,3,0,0.9234624784322295,0.0,233863.0,1177.0370851651826,Grid,Alpha-e,Stages,2
21,3,0,0.18527887313808758,7200.07791519165,215418.0,1119.7353526959162,Grid,Alpha-e,MTZ,2
22,3,0,0.8481938999198678,0.0,81057.0,1186.8759060954658,Grid,Alpha-e,Stages,3
23,3,0,0.37368449959452715,7200.131201982498,408312.0,1136.5949408889885,Grid,Alpha-e,MTZ,3
24,4,0,0.9049456330371789,0.0,359027.0,873.622050618414,Grid,Alpha-e,Stages,1
25,4,0,0.337972002394064,7200.080305099487,762901.0,855.6705178355637,Grid,Alpha-e,MTZ,1
26,4,0,0.9369078984798889,0.0,175925.0,919.1118274975001,Grid,Alpha-e,Stages,2
27,4,0,0.10335572368722779,7200.063071012497,287574.0,922.8626830057557,Grid,Alpha-e,MTZ,2
28,4,0,0.861672010615542,0.0,116843.0,838.4231851655729,Grid,Alpha-e,Stages,3
29,4,0,0.25186144648573716,7200.055880784988,339420.0,711.4112009600128,Grid,Alpha-e,MTZ,3
30,0,1,0.932278913083466,0.0,23110.0,1816.5257990708149,Grid,Alpha-e,Stages,1
31,0,1,0.38077748795863237,7200.118741035461,377536.0,1439.031111731938,Grid,Alpha-e,MTZ,1
32,0,1,0.9347552462016196,0.0,17371.0,1885.4711584190975,Grid,Alpha-e,Stages,2
33,0,1,0.40867465170791895,7201.877943992615,57895.0,1908.7120986913192,Grid,Alpha-e,MTZ,2
34,0,1,0.9326330155460801,0.0,30859.0,1826.0740408997633,Grid,Alpha-e,Stages,3
35,0,1,0.43682016272385793,7200.127712965012,231940.0,1461.5102204930959,Grid,Alpha-e,MTZ,3
36,1,1,0.9085907130080274,0.0,30783.0,1545.9841857607662,Grid,Alpha-e,Stages,1
37,1,1,0.471059003284856,7200.269092798233,430986.0,1414.1453446619894,Grid,Alpha-e,MTZ,1
38,1,1,0.910922031163255,0.0,36649.0,1586.445155482295,Grid,Alpha-e,Stages,2
39,1,1,0.3145097660619577,7200.4426782131195,62328.0,1452.3764796835057,Grid,Alpha-e,MTZ,2
40,1,1,0.9073884067273308,0.0,50047.0,1525.9138421815846,Grid,Alpha-e,Stages,3
41,1,1,0.4309598680553508,7200.203132867813,131296.0,1361.9522013271421,Grid,Alpha-e,MTZ,3
42,2,1,0.9062527516065908,0.0,33793.0,1669.7293223648066,Grid,Alpha-e,Stages,1
43,2,1,0.4586176592536601,7200.093892097473,295370.0,1633.5249200533312,Grid,Alpha-e,MTZ,1
44,2,1,0.9205177197335732,0.0,21348.0,1969.4015950321398,Grid,Alpha-e,Stages,2
45,2,1,0.3366529364023011,7201.22837305069,85332.0,1732.1443730437827,Grid,Alpha-e,MTZ,2
46,2,1,0.90427078788959,0.0,48154.0,1635.1594887562064,Grid,Alpha-e,Stages,3
47,2,1,0.4713321871409825,7200.226660966873,46558.0,1602.0051523826994,Grid,Alpha-e,MTZ,3
48,3,1,0.9175379700527316,0.0,31615.0,1661.0741149029861,Grid,Alpha-e,Stages,1
49,3,1,0.4432310681121176,7200.129269838333,304192.0,1582.2246866011212,Grid,Alpha-e,MTZ,1
50,3,1,0.9126099284184611,0.0,31574.0,1567.4039502297235,Grid,Alpha-e,Stages,2
51,3,1,0.46081629215950337,7200.123839855194,44048.0,1813.0294972780023,Grid,Alpha-e,MTZ,2
52,3,1,0.9235267083703801,0.0,29206.0,1791.1553234973937,Grid,Alpha-e,Stages,3
