,Instance,List,Gap,Time,Nodes,ObjVal,Structure,Pct,Model
69,4,3,0.7645198225279737,0.0,34828.0,2907.221516673697,Delauney,Alpha-e,MTZ
70,0,3,0.6820418599519746,0.0,37651.0,2863.320048599487,Grid,Alpha-g,MTZ
71,0,3,0.8089976160289514,0.0,25230.0,3120.817978081675,Delauney,Alpha-g,MTZ
72,1,3,0.6971699941553335,0.0,15062.0,2669.3382886255977,Grid,Alpha-g,MTZ
73,1,3,0.6982744527084572,0.0,17447.0,2794.6091674004715,Delauney,Alpha-g,MTZ
74,2,3,0.6932912920704273,0.0,25729.0,3017.0987761469055,Grid,Alpha-g,MTZ
75,2,3,0.7845216002862945,0.0,18894.0,2627.214488643512,Delauney,Alpha-g,MTZ
76,3,3,0.6930693762266869,0.0,20951.0,2692.919380317568,Grid,Alpha-g,MTZ
77,3,3,0.8287831322111566,0.0,2983.0,4439.88926107916,Delauney,Alpha-g,MTZ
78,4,3,0.742707771286631,0.0,17640.0,3384.043364137301,Grid,Alpha-g,MTZ
79,4,3,0.7534958719720131,0.0,19567.0,2517.0838729936736,Delauney,Alpha-g,MTZ
